year,county_name,annual_average_pay,med_rent_0br,med_rent_1br,med_rent_2br,med_rent_3br,med_rent_4br,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,unhoused_total,emergency_shelter,transitional_housing,unsheltered,unhoused_source,Notes
2000,"Denver County, Colorado",44385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Denver County, Colorado",46134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Denver County, Colorado",44603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Denver County, Colorado",45879,595,710,945,1311,1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Denver County, Colorado",48237,607,724,964,1337,1579,607,724,964,1337,1579,NA,NA,NA,NA,NA,NA
2005,"Denver County, Colorado",50056,674,768,973,1382,1612,615,701,888,1261,1472,10157,2406,2662,5089,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2005_CO_2005.pdf,2005-2014 is Metropolitan Denver Homeless Initiative CoC
2006,"Denver County, Colorado",52791,616,702,889,1262,1471,616,702,889,1262,1471,8661,2814,2576,3271,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2006_CO_2006.pdf,2015-2023 is Metropolitan Denver CoC
2007,"Denver County, Colorado",54977,630,718,909,1291,1504,630,718,909,1291,1504,8698,2701,2484,3513,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2007_CO_2007.pdf,NA
2008,"Denver County, Colorado",56235,607,692,876,1244,1450,607,692,876,1244,1450,8482,2407,2544,3531,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2008_CO_2008.pdf,NA
2009,"Denver County, Colorado",56471,617,704,891,1265,1475,617,704,891,1265,1475,8752,3794,3259,1699,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2009_CO_2009.pdf,NA
2010,"Denver County, Colorado",57906,638,728,921,1308,1524,638,728,921,1308,1524,8752,3794,3259,1699,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2010_CO_2010.pdf,NA
2011,"Denver County, Colorado",59401,698,796,1007,1430,1667,698,796,1007,1430,1667,4809,1911,2366,532,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2011_CO_2011.pdf,NA
2012,"Denver County, Colorado",60957,659,751,951,1350,1574,619,705,893,1268,1478,6358,2441,2953,964,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2012_CO_2012.pdf,NA
2013,"Denver County, Colorado",61153,627,774,1002,1470,1705,588,726,940,1379,1599,6316,2819,2569,928,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2012_CO_2013.pdf,NA
2014,"Denver County, Colorado",63440,641,792,1025,1504,1744,600,742,960,1409,1633,6621,2885,3065,671,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2012_CO_2013.pdf,NA
2015,"Denver County, Colorado",65169,723,893,1156,1696,1967,723,893,1156,1696,1967,5335,2349,2241,745,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2015_CO_2015.pdf,NA
2016,"Denver County, Colorado",65214,775,965,1227,1788,2083,775,965,1227,1788,2083,5728,2918,2013,797,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2015_CO_2016.pdf,NA
2017,"Denver County, Colorado",67618,844,1031,1305,1896,2196,844,1031,1305,1896,2196,5506,2627,1985,894,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2017_CO_2017.pdf,NA
2018,"Denver County, Colorado",70725,1021,1226,1543,2211,2558,938,1127,1418,2031,2351,5317,2574,1435,1308,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2018_CO_2018.pdf,NA
2019,"Denver County, Colorado",74043,1118,1308,1638,2302,2674,1029,1204,1508,2119,2461,5755,3096,1713,946,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2019_CO_2019.pdf,NA
2020,"Denver County, Colorado",81974,1210,1367,1700,2348,2701,1114,1260,1566,2163,2488,6104,2911,1632,1561,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2020_CO_2020.pdf,NA
2021,"Denver County, Colorado",88044,1286,1422,1750,2383,2710,1179,1304,1605,2186,2486,5530,4072,1458,NA,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2021_CO_2021.pdf,"**In 2021, HUD gave communities the option to cancel or modify the unsheltered survey portion of their counts based on the potential risk of COVID-19 transmission associated with conducting an in -person survey. As a result, HUD has excluded the unsheltered population sub-totals and all unsheltered sub-population data for this reporting period. The user is cautioned that the unsheltered and total homeless counts reported here may be missing data"
2022,"Denver County, Colorado",92675,1341,1480,1800,2416,2714,1236,1364,1659,2226,2501,6884,3474,1342,2078,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2022_CO_2022.pdf,NA
2000,"King County, Washington",47311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"King County, Washington",47186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"King County, Washington",47917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"King County, Washington",48997,612,745,943,1309,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"King County, Washington",48304,629,764,968,1345,1589,599,729,923,1282,1515,NA,NA,NA,NA,NA,NA
2005,"King County, Washington",50153,654,745,894,1271,1569,610,693,834,1175,1429,7315,2462,2637,2216,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2005_WA_2005.pdf,NA
2006,"King County, Washington",53501,648,739,890,1268,1563,612,698,840,1187,1450,7910,2463,3501,1946,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2006_WA_2006.pdf,NA
2007,"King County, Washington",56203,660,752,906,1291,1591,623,710,854,1207,1474,7902,2368,3312,2222,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2007_WA_2007.pdf,NA
2008,"King County, Washington",58124,729,832,1002,1428,1760,687,783,942,1331,1626,8501,2515,3293,2693,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2008_WA_2008.pdf,NA
2009,"King County, Washington",59146,764,872,1050,1496,1844,720,820,987,1395,1704,8952,2552,3537,2863,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2009_WA_2009.pdf,NA
2010,"King County, Washington",60743,818,933,1124,1602,1974,770,878,1056,1492,1823,9022,2485,3737,2800,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2010_WA_2010.pdf,NA
2011,"King County, Washington",63265,919,1048,1263,1800,2218,857,977,1176,1662,2030,8972,2629,3851,2492,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2011_WA_2011.pdf,NA
2012,"King County, Washington",65823,861,981,1181,1669,2038,800,912,1098,1551,1895,8899,2682,3599,2618,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2012_WA_2012.pdf,NA
2013,"King County, Washington",67294,817,967,1190,1754,2108,758,897,1104,1627,1955,9106,2874,3496,2736,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2012_WA_2013.pdf,NA
2014,"King County, Washington",70608,828,980,1206,1777,2136,771,913,1123,1655,1989,8949,2906,3307,2736,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2014_WA_2014.pdf,NA
2015,"King County, Washington",72450,1053,1246,1533,2259,2715,972,1150,1415,2085,2506,10122,3282,3037,3803,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2015_WA_2015.pdf,NA
2016,"King County, Washington",76747,1136,1327,1650,2405,2835,1049,1225,1523,2220,2617,10730,3200,3025,4505,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2015_WA_2016.pdf,NA
2017,"King County, Washington",81496,1184,1353,1673,2427,2876,1093,1249,1544,2240,2654,11643,3491,2667,5485,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2017_WA_2017.pdf,NA
2018,"King County, Washington",88347,1456,1633,2006,2904,3438,1363,1529,1878,2719,3219,12112,3585,2207,6320,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2018_WA_2018.pdf,NA
2019,"King County, Washington",93286,1513,1664,2029,2921,3449,1416,1557,1899,2733,3228,11199,4065,1906,5228,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2019_WA_2019.pdf,NA
2020,"King County, Washington",105497,1738,1860,2243,3198,3766,1627,1741,2099,2993,3524,11751,4085,2088,5578,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2020_WA_2020.pdf,NA
2021,"King County, Washington",115380,1659,1741,2076,2903,3421,1523,1599,1906,2694,3172,5183,3429,1754,NA,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2021_WA_2021.pdf,NA
2022,"King County, Washington",114005,1789,1859,2185,2989,3512,1674,1739,2044,2796,3285,13368,4141,1542,7685,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2022_WA_2022.pdf,NA
2000,"Los Angeles County, California",39680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Los Angeles County, California",40891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Los Angeles County, California",41709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Los Angeles County, California",42924,684,819,1037,1399,1671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Los Angeles County, California",44976,723,865,1095,1478,1765,674,807,1021,1378,1646,NA,NA,NA,NA,NA,NA
2005,"Los Angeles County, California",46369,784,945,1186,1614,1990,746,900,1124,1510,1816,83347,4711,5164,73472,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2005_CA_2005.pdf,NA
2006,"Los Angeles County, California",48517,848,1025,1285,1751,2156,789,952,1189,1597,1921,82291,4714,5164,72413,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2006_CA_2006.pdf,NA
2007,"Los Angeles County, California",50361,905,1094,1371,1869,2301,843,1016,1269,1704,2051,47862,5525,5917,36420,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2007_CA_2007.pdf,NA
2008,"Los Angeles County, California",51501,937,1132,1419,1934,2381,863,1041,1300,1746,2101,47862,5525,5917,36420,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2008_CA_2008.pdf,NA
