med_rent_0br,med_rent_1br,med_rent_2br,med_rent_3br,med_rent_4br,county_name,year
937,1132,1419,1934,2381,"Los Angeles County, California",2008
607,692,876,1244,1450,"Denver County, Colorado",2008
1194,1290,1438,1802,1835,"New York County, New York",2008
729,832,1002,1428,1760,"King County, Washington",2008
