med_rent_0br,med_rent_1br,med_rent_2br,med_rent_3br,med_rent_4br,county_name,year
684,819,1037,1399,1671,"Los Angeles County, California",2003
595,710,945,1311,1548,"Denver County, Colorado",2003
898,1001,1137,1422,1593,"New York County, New York",2003
612,745,943,1309,1546,"King County, Washington",2003
