med_rent_0br,med_rent_1br,med_rent_2br,med_rent_3br,med_rent_4br,county_name,year
981,1186,1486,2025,2494,"Los Angeles County, California",2009
617,704,891,1265,1475,"Denver County, Colorado",2009
1182,1277,1424,1784,1817,"New York County, New York",2009
764,872,1050,1496,1844,"King County, Washington",2009
