med_rent_0br,med_rent_1br,med_rent_2br,med_rent_3br,med_rent_4br,county_name,year
723,865,1095,1478,1765,"Los Angeles County, California",2004
607,724,964,1337,1579,"Denver County, Colorado",2004
936,1041,1184,1480,1659,"New York County, New York",2004
629,764,968,1345,1589,"King County, Washington",2004
