"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",904,1090,1361,1828,2199,"Los Angeles County, California","2009"
"2",617,704,891,1265,1475,"Denver County, Colorado","2009"
"3",1091,1180,1313,1615,1817,"New York County, New York","2009"
"4",720,820,987,1395,1704,"King County, Washington","2009"
