"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",1384,1604,2044,2693,2933,"Los Angeles County, California","2022"
"2",1236,1364,1659,2226,2501,"Denver County, Colorado","2022"
"3",2018,2054,2340,2952,3173,"New York County, New York","2022"
"4",1674,1739,2044,2796,3285,"King County, Washington","2022"
