"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",911,1101,1421,1921,2140,"Los Angeles County, California","2013"
"2",588,726,940,1379,1599,"Denver County, Colorado","2013"
"3",1191,1243,1474,1895,2124,"New York County, New York","2013"
"4",758,897,1104,1627,1955,"King County, Washington","2013"
