"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",789,952,1189,1597,1921,"Los Angeles County, California","2006"
"2",616,702,889,1262,1471,"Denver County, Colorado","2006"
"3",940,1003,1133,1406,1556,"New York County, New York","2006"
"4",612,698,840,1187,1450,"King County, Washington","2006"
