"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",1067,1284,1663,2231,2467,"Los Angeles County, California","2018"
"2",938,1127,1418,2031,2351,"Denver County, Colorado","2018"
"3",1514,1558,1789,2280,2437,"New York County, New York","2018"
"4",1363,1529,1878,2719,3219,"King County, Washington","2018"
