"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",1158,1384,1791,2401,2641,"Los Angeles County, California","2019"
"2",1029,1204,1508,2119,2461,"Denver County, Colorado","2019"
"3",1559,1599,1831,2324,2475,"New York County, New York","2019"
"4",1416,1557,1899,2733,3228,"King County, Washington","2019"
