"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",863,1041,1300,1746,2101,"Los Angeles County, California","2008"
"2",607,692,876,1244,1450,"Denver County, Colorado","2008"
"3",1095,1185,1318,1621,1823,"New York County, New York","2008"
"4",687,783,942,1331,1626,"King County, Washington","2008"
