"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",943,1137,1420,1907,2295,"Los Angeles County, California","2010"
"2",638,728,921,1308,1524,"Denver County, Colorado","2010"
"3",1129,1222,1359,1672,1880,"New York County, New York","2010"
"4",770,878,1056,1492,1823,"King County, Washington","2010"
