"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",674,807,1021,1378,1646,"Los Angeles County, California","2004"
"2",607,724,964,1337,1579,"Denver County, Colorado","2004"
"3",848,944,1073,1342,1504,"New York County, New York","2004"
"4",599,729,923,1282,1515,"King County, Washington","2004"
