"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",973,1173,1465,1967,2367,"Los Angeles County, California","2011"
"2",698,796,1007,1430,1667,"Denver County, Colorado","2011"
"3",1166,1261,1403,1726,1941,"New York County, New York","2011"
"4",857,977,1176,1662,2030,"King County, Washington","2011"
