"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",961,1159,1447,1943,2338,"Los Angeles County, California","2012"
"2",619,705,893,1268,1478,"Denver County, Colorado","2012"
"3",1183,1280,1424,1752,1970,"New York County, New York","2012"
"4",800,912,1098,1551,1895,"King County, Washington","2012"
