"","fmr_0br","fmr_1br","fmr_2br","fmr_3br","fmr_4br","county_name","year"
"1",896,1083,1398,1890,2106,"Los Angeles County, California","2014"
"2",600,742,960,1409,1633,"Denver County, Colorado","2014"
"3",1163,1215,1440,1852,2075,"New York County, New York","2014"
"4",771,913,1123,1655,1989,"King County, Washington","2014"
